Begin IJ Block
1   1   -25.6840313865
1   2   -0.0000000000
1   3   0.4910407889
1   4   -0.0000000025
1   5   -0.0376371299
2   2   -25.6840186477
2   3   0.0000000024
2   4   0.4969611560
2   5   -0.0000000002
2   6   0.0000000000
3   3   -6.5964079478
3   4   -0.0000000000
3   5   -0.0966080032
4   4   -6.6083413907
4   5   0.0000000000
4   6   -0.0000000001
5   5   -5.8292468600
6   6   -5.8371886498
7   7   -5.8371886498

End IJ Block
Begin IA Block
1   1   0.0000000000
1   2   -0.0000000000
1   3   0.0000000001
1   4   0.1818806609
1   7   0.0000000000
1   8   -0.0000000000
1   9   0.0000000014
1   10   0.3604233507
1   11   0.0000000014
1   16   0.0079427749
2   3   -0.0273803633
2   4   0.0000000009
2   5   0.0000000000
2   9   -0.2890174700
2   10   0.0000000018
2   11   -0.2769027079
2   12   0.0000000000
2   14   0.0000000000
2   16   0.0000000000
3   1   0.0000000000
3   2   -0.0000000000
3   4   -0.5780156463
3   7   -0.0000000001
3   8   0.0000000000
3   9   -0.0000000000
3   10   -1.0873233786
3   11   -0.0000000000
3   16   -0.0641565334
4   3   0.2532274442
4   4   -0.0000000000
4   5   -0.0000000001
4   7   0.0000000000
4   9   0.9434617311
4   10   -0.0000000000
4   11   0.7656642899
4   12   0.0000000000
4   14   0.0000000000
4   16   -0.0000000000
5   1   0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.2391094994
5   7   0.0000000005
5   8   -0.0000000002
5   9   0.0000000001
5   10   0.8114797167
5   11   -0.0000000000
5   16   -0.2067817036
6   1   -0.0000000001
6   2   -0.0000000001
6   3   0.0000000000
6   5   1.5554428539
6   6   0.0014161337
6   7   -0.0000000008
6   8   -0.0000000007
6   9   -0.0000000003
6   11   0.0000000003
6   12   0.0000000000
6   13   0.0000000000
6   14   -0.1334272112
6   15   0.0001237593
7   1   -0.0000000001
7   2   0.0000000001
7   5   -0.0014161337
7   6   1.5554428539
7   7   -0.0000000007
7   8   0.0000000009
7   13   -0.0000000000
7   14   0.0001237593
7   15   0.1334272112

End IA Block
Begin AB Block
1   1   -5.8791046938
1   4   0.0000000004
1   5   0.0000000007
1   6   0.0000000011
1   7   1.5001805576
1   8   -0.4526430760
1   9   -0.0000000000
1   10   -0.0000000004
1   12   -0.0000000000
1   13   0.0000000000
1   14   -0.0000000001
1   15   0.0000000002
1   16   0.0000000001
2   2   -5.8791046938
2   4   -0.0000000001
2   5   0.0000000011
