Begin IJ Block
1   1   -25.5583458300
1   2   -0.0000000001
1   3   0.4907036009
1   4   -0.0000000161
1   5   0.0274965019
2   2   -25.5582318393
2   3   0.0000000160
2   4   0.4959843652
2   5   0.0000000009
2   7   0.0000000000
3   3   -6.4774893516
3   4   -0.0000000001
3   5   0.0838296537
4   4   -6.4854597903
4   5   -0.0000000001
4   7   -0.0000000000
5   5   -5.6932652420
6   6   -5.7239327493
7   7   -5.7239327493

End IJ Block
Begin IA Block
1   1   -0.0000000000
1   2   0.0000000000
1   3   -0.0000000005
1   4   -0.1425350990
1   7   -0.0000000000
1   8   0.0000000000
1   9   0.0000000094
1   10   0.3781463095
1   11   0.0000000092
1   16   0.0032918554
2   3   0.0160481099
2   4   -0.0000000047
2   5   0.0000000000
2   9   -0.2870298401
2   10   0.0000000124
2   11   -0.2817621159
2   12   0.0000000000
2   14   0.0000000001
2   16   0.0000000001
3   1   -0.0000000000
3   2   0.0000000000
3   3   -0.0000000000
3   4   0.4531040514
3   7   0.0000000000
3   8   -0.0000000000
3   9   -0.0000000003
3   10   -1.1398706873
3   11   -0.0000000001
3   16   -0.0384514538
4   3   -0.1965150535
4   4   0.0000000001
4   5   -0.0000000000
4   9   0.9180800215
4   10   -0.0000000002
4   11   0.8011010798
4   12   0.0000000000
4   14   0.0000000001
4   16   0.0000000000
5   1   0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.3561777535
5   7   0.0000000002
5   8   -0.0000000002
5   9   -0.0000000004
5   10   -0.6529732909
5   11   0.0000000003
5   16   0.1483130492
6   1   -0.0000000004
6   2   -0.0000000009
6   5   -0.0000286587
6   6   1.5526976922
6   7   -0.0000000024
6   8   -0.0000000059
6   12   0.0000040404
6   13   0.0987233650
6   15   0.0000000000
7   1   0.0000000009
7   2   -0.0000000004
7   3   0.0000000000
7   5   1.5526976922
7   6   0.0000286587
7   7   0.0000000055
7   8   -0.0000000020
7   9   -0.0000000001
7   11   0.0000000001
7   12   -0.0987233650
7   13   0.0000040404

End IA Block
Begin AB Block
1   1   -5.7488375598
1   4   0.0000000001
1   5   -0.0000000067
1   6   0.0000000034
1   7   1.5551870838
1   8   0.0853304498
1   10   0.0000000001
1   12   0.0000000014
1   13   0.0000000006
1   14   0.0000000000
1   15   -0.0000000000
1   16   -0.0000000000
2   2   -5.7488375598
2   4   -0.0000000002
2   5   0.0000000029
2   6   0.0000000072
2   7   -0.0853304498
2   8   1.5551870838
2   10   -0.0000000001
2   12   -0.0000000006
2   13   0.0000000014
2   14   -0.0000000000
2   15   -0.0000000000
2   16   0.0000000000
3   3   -5.8559105724
3   4   0.0000000005
3   5   -0.0000000002
3   9   -1.1372199365
3   10   0.0000000004
3   11   1.0227290249
3   12   0.0000000000
3   14   -0.0000000004
3   16   0.0000000001
4   4   -4.9103603638
4   7   -0.0000000000
4   8   0.0000000000
4   9   0.0000000001
4   10   -0.0179796835
4   11   -0.0000000001
4   16   -0.0199820058
5   5   -4.5771904265
5   7   0.0000000009
5   8   -0.0000000003
5   9   -0.0000000000
5   11   0.0000000000
5   12   -0.0196808744
5   13   0.0000004422
6   6   -4.5771904265
6   7   -0.0000000003
6   8   -0.0000000008
6   12   0.0000004422
6   13   0.0196808744
7   7   -4.5235369262
7   10   -0.0000000000
7   12   0.0000000001
7   13   0.0000000000
7   14   0.0000000000
8   8   -4.5235369262
8   10   0.0000000000
8   12   -0.0000000000
8   13   0.0000000001
8   15   -0.0000000000
9   9   -4.1885812639
9   10   0.0000000001
9   11   0.1856063130
9   14   0.0000000000
9   16   0.0000000004
10   10   -4.0630981218
10   16   -0.0025399653
11   11   -4.3954127347
11   12   0.0000000000
11   14   -0.0000000002
11   16   -0.0000000009
12   12   -3.6609962604
13   13   -3.6609962604
14   14   -3.6364500634
15   15   -3.6364500634
16   16   -3.6673451119

End AB Block
Begin IJKL Block
1   8   1   8   2.1444700797
1   8   1   9   -0.0000001294
1   8   1   10   -0.2028174434
1   8   1   11   0.0000000201
1   8   1   12   -0.0089046752
1   8   2   8   -0.0000001294
1   8   2   9   1.9832391236
1   8   2   10   0.0000000066
1   8   2   11   -0.2051385652
1   8   2   12   0.0000000002
1   8   2   14   -0.0000000000
1   8   3   8   -0.2028174434
1   8   3   9   0.0000000066
1   8   3   10   0.0322452328
1   8   3   11   -0.0000000022
1   8   3   12   0.0012176178
1   8   4   8   0.0000000201
1   8   4   9   -0.2051385652
1   8   4   10   -0.0000000022
1   8   4   11   0.0329979682
1   8   4   12   -0.0000000001
1   8   5   8   -0.0089046752
1   8   5   9   0.0000000002
1   8   5   10   0.0012176178
1   8   5   11   -0.0000000001
1   8   5   12   0.0109735405
1   8   6   13   0.0118145273
1   8   7   9   -0.0000000000
1   8   7   14   0.0118145273
1   9   1   8   -0.0000001294
1   9   1   9   2.1444294381
1   9   1   10   0.0000000067
1   9   1   11   -0.2051649033
1   9   1   12   0.0000000002
1   9   1   14   -0.0000000000
1   9   2   8   1.9832392874
1   9   2   9   0.0000001294
1   9   2   10   -0.2028770559
1   9   2   11   -0.0000000067
1   9   2   12   -0.0072795436
1   9   3   8   0.0000000066
1   9   3   9   -0.2028156096
1   9   3   10   0.0000000000
1   9   3   11   0.0325979188
1   9   4   8   -0.2051388326
1   9   4   9   -0.0000000067
1   9   4   10   0.0326004931
1   9   4   11   0.0000000000
1   9   4   12   0.0016796379
1   9   5   8   0.0000000002
1   9   5   9   -0.0089045270
1   9   5   10   -0.0000000000
1   9   5   11   0.0016817330
1   9   5   14   -0.0000000000
1   9   6   13   0.0000000001
1   9   6   14   -0.0000000001
1   9   7   8   -0.0000000000
1   9   7   12   -0.0000000000
1   9   7   13   -0.0000000001
1   9   7   14   -0.0000000001
1   10   1   8   -0.2028174434
1   10   1   9   0.0000000067
1   10   1   10   0.5709326413
1   10   1   11   -0.0000000268
1   10   1   12   -0.0014412981
1   10   2   8   0.0000000066
1   10   2   9   -0.2028813062
1   10   2   10   -0.0000000001
1   10   2   11   0.4101034151
1   10   2   12   0.0000000000
1   10   2   14   0.0000000000
1   10   3   8   0.0324099912
1   10   3   9   -0.0000000000
1   10   3   10   -0.0083947852
1   10   3   11   0.0000000003
1   10   3   12   -0.0004246960
1   10   4   8   -0.0000000021
1   10   4   9   0.0326424162
1   10   4   10   0.0000000003
1   10   4   11   -0.0087721014
1   10   4   12   -0.0000000000
1   10   5   8   0.0012452289
1   10   5   9   0.0000000000
1   10   5   10   -0.0013661439
1   10   5   11   -0.0000000000
1   10   5   12   0.0129555675
