Begin IJ Block
1   1   -25.6840313865
1   2   -0.0000000000
1   3   0.4910407889
1   4   -0.0000000008
1   5   -0.0376371299
2   2   -25.6840194646
2   3   0.0000000008
2   4   0.4969782252
2   5   -0.0000000001
2   6   0.0000000000
3   3   -6.5964079478
3   4   -0.0000000000
3   5   -0.0966080032
4   4   -6.6083811052
4   5   0.0000000000
4   6   -0.0000000001
5   5   -5.8292468600
6   6   -5.8371886498
7   7   -5.8371886498

End IJ Block
Begin IA Block
1   1   0.0000000000
1   2   -0.0000000000
1   3   0.0000000000
1   4   0.1818492874
1   7   0.0000000000
1   8   -0.0000000000
1   9   0.0000000005
1   10   0.3604368753
1   11   0.0000000005
2   3   -0.0274206086
2   4   0.0000000003
2   6   0.0000000000
2   9   -0.2891063788
2   10   0.0000000006
2   11   -0.2769282712
2   12   0.0000000000
3   1   0.0000000001
3   2   -0.0000000000
3   4   -0.5781981249
3   7   -0.0000000001
3   8   0.0000000001
3   9   -0.0000000000
3   10   -1.0872496162
3   11   -0.0000000000
4   3   0.2538536727
4   4   -0.0000000000
4   6   -0.0000000001
4   7   0.0000000000
4   9   0.9429305850
4   10   -0.0000000000
4   11   0.7654952237
4   12   0.0000000000
5   1   0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.2384870699
5   7   0.0000000006
5   8   -0.0000000005
5   9   0.0000000000
5   10   0.8110972257
5   11   -0.0000000000
6   1   0.0000000000
6   2   -0.0000000001
6   3   0.0000000000
6   5   -0.0009971831
6   6   1.5547533083
6   7   -0.0000000004
6   8   -0.0000000010
6   9   -0.0000000004
6   11   0.0000000005
6   12   0.0000000000
7   1   0.0000000001
7   2   0.0000000000
7   5   1.5547533083
7   6   0.0009971831
7   7   0.0000000010
7   8   -0.0000000004
7   12   0.0000000000

End IA Block
Begin AB Block
1   1   -5.8766912631
1   4   0.0000000006
1   5   -0.0000000013
1   6   -0.0000000002
1   7   1.3216606265
1   8   -0.8402101117
1   9   -0.0000000000
1   10   -0.0000000006
1   12   0.0000000000
2   2   -5.8766912631
2   4   -0.0000000001
2   5   -0.0000000002
2   6   0.0000000013
2   7   0.8402101117
2   8   1.3216606265
2   9   -0.0000000000
2   10   0.0000000001
2   12   -0.0000000001
3   3   -6.0185576695
3   4   0.0000000000
3   6   0.0000000008
3   7   0.0000000000
3   9   1.1364471865
3   10   -0.0000000000
3   11   -1.0433173113
3   12   -0.0000000000
4   4   -5.1297481759
4   7   -0.0000000001
