Begin IJ Block
1   1   -25.5975353635
1   2   -0.0000000000
1   3   0.4922855530
1   4   -0.0000000061
1   5   -0.0305771286
2   2   -25.5975313339
2   3   0.0000000061
2   4   0.4964097094
2   5   -0.0000000004
3   3   -6.5114712074
3   4   -0.0000000000
3   5   -0.0873342803
4   4   -6.5230617432
4   5   0.0000000000
4   7   -0.0000000000
5   5   -5.7313359842
6   6   -5.7584013756
7   7   -5.7584013756

End IJ Block
Begin IA Block
1   2   -0.0000000000
1   3   0.0000000002
1   4   0.1551431086
1   7   0.0000000000
1   8   0.0000000000
1   9   0.0000000036
1   10   0.3728421742
1   11   0.0000000034
1   16   0.0045026891
2   3   -0.0193726202
2   4   0.0000000019
2   6   0.0000000000
2   9   -0.2901078631
2   10   0.0000000046
2   11   -0.2780232719
2   13   -0.0000000001
2   14   0.0000000000
2   16   0.0000000001
3   2   -0.0000000000
3   3   0.0000000000
3   4   -0.4945885714
3   7   -0.0000000000
3   8   -0.0000000000
3   9   -0.0000000001
3   10   -1.1276102846
3   11   -0.0000000000
3   16   -0.0455317972
4   3   0.2144787430
4   4   -0.0000000000
4   6   -0.0000000000
4   9   0.9320145224
4   10   -0.0000000001
4   11   0.7821760012
4   13   -0.0000000001
4   16   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.3225217832
5   7   0.0000000000
5   8   0.0000000001
5   9   0.0000000001
5   10   0.7049800537
5   11   -0.0000000001
5   16   -0.1660051768
6   1   -0.0000000004
6   2   0.0000000006
6   5   1.5545618012
6   6   -0.0004983437
6   7   0.0000000011
6   8   -0.0000000042
6   14   -0.0000220778
6   15   0.1085214039
7   1   -0.0000000006
7   2   -0.0000000004
7   5   0.0004983437
7   6   1.5545618012
7   7   0.0000000043
7   8   0.0000000013
7   9   -0.0000000000
7   11   0.0000000000
7   14   -0.1085214039
7   15   -0.0000220778

End IA Block
Begin AB Block
1   1   -5.7861222268
1   4   -0.0000000000
1   5   0.0000000032
1   6   0.0000000044
1   7   -1.4492501998
1   8   0.5769421265
1   10   0.0000000000
1   12   0.0000000000
1   13   0.0000000000
1   14   -0.0000000008
1   15   0.0000000006
1   16   -0.0000000000
2   2   -5.7861222268
2   4   -0.0000000001
2   5   -0.0000000044
2   6   0.0000000034
2   7   -0.5769421265
2   8   -1.4492501998
2   10   0.0000000000
2   12   -0.0000000000
2   13   0.0000000000
2   14   -0.0000000006
2   15   -0.0000000008
