Begin IJ Block
1   1   -25.6392396084
1   2   -0.0000000000
1   3   0.4917189696
1   4   -0.0000000037
1   5   0.0338989809
2   2   -25.6392315633
2   3   0.0000000036
2   4   0.4966740483
2   5   0.0000000003
3   3   -6.5523585597
3   4   -0.0000000000
3   5   0.0913301353
4   4   -6.5644942492
4   5   -0.0000000000
4   7   0.0000000000
5   5   -5.7770683051
6   6   -5.7966530517
7   7   -5.7966530517

End IJ Block
Begin IA Block
1   1   -0.0000000000
1   3   -0.0000000002
1   4   -0.1681235126
1   7   -0.0000000000
1   9   0.0000000022
1   10   0.3670571806
1   11   0.0000000020
1   16   0.0060421846
2   3   0.0231267462
2   4   -0.0000000012
2   6   -0.0000000000
2   9   -0.2905982057
2   10   0.0000000027
2   11   -0.2766053011
2   12   -0.0000000000
2   16   0.0000000000
3   1   -0.0000000000
3   4   0.5353924112
3   7   0.0000000000
3   8   -0.0000000000
3   9   -0.0000000001
3   10   -1.1089360119
3   11   -0.0000000000
3   16   -0.0538849131
4   3   -0.2333004835
4   4   0.0000000000
4   6   0.0000000000
4   9   0.9399084948
4   10   -0.0000000001
4   11   0.7709190144
4   12   -0.0000000000
4   16   -0.0000000000
5   1   0.0000000000
5   3   0.0000000000
5   4   -1.2832078541
5   7   0.0000000000
5   8   -0.0000000000
5   9   -0.0000000001
5   10   -0.7569652885
5   11   0.0000000001
5   16   0.1855321418
6   1   0.0000000000
6   2   -0.0000000002
6   5   1.5546922571
6   6   -0.0003286311
6   7   -0.0000000004
6   8   -0.0000000013
6   14   0.1199625167
6   15   -0.0000190296
7   1   -0.0000000002
7   2   -0.0000000000
7   5   0.0003286311
7   6   1.5546922571
7   7   -0.0000000012
7   8   0.0000000004
7   9   0.0000000000
7   11   -0.0000000000
7   14   -0.0000190296
7   15   -0.1199625167

End IA Block
Begin AB Block
1   1   -5.8300450379
1   4   0.0000000000
1   5   -0.0000000001
1   6   0.0000000015
1   7   1.4426018157
1   8   -0.6003468591
1   10   0.0000000000
1   12   -0.0000000000
1   14   -0.0000000000
1   15   -0.0000000003
1   16   -0.0000000000
2   2   -5.8300450379
2   5   0.0000000016
2   6   0.0000000001
2   7   0.6003468591
2   8   1.4426018157
2   13   0.0000000000
2   14   0.0000000003
2   15   -0.0000000000
3   3   -5.9596488290
3   4   0.0000000001
3   6   0.0000000001
3   9   -1.1282610852
3   10   0.0000000001
3   11   1.0442896544
3   12   0.0000000000
3   15   -0.0000000000
3   16   -0.0000000000
4   4   -5.0556437629
4   7   -0.0000000000
4   8   0.0000000000
4   9   0.0000000000
4   10   -0.0554209811
4   11   -0.0000000000
4   16   -0.0187521845
5   5   -4.6624534460
5   7   -0.0000000001
5   8   -0.0000000002
5   14   0.0229499880
5   15   -0.0000084917
6   6   -4.6624534460
6   7   -0.0000000002
6   8   0.0000000001
6   9   0.0000000000
6   11   -0.0000000000
6   14   -0.0000084917
6   15   -0.0229499880
7   7   -4.5789480676
7   10   -0.0000000000
7   14   0.0000000000
7   15   -0.0000000000
8   8   -4.5789480676
8   10   0.0000000000
8   14   0.0000000000
8   15   0.0000000000
9   9   -4.2374998745
9   10   0.0000000000
9   11   0.1674537334
9   12   0.0000000000
10   10   -4.1220485495
10   11   -0.0000000000
10   16   -0.0061990702
11   11   -4.4295074000
11   12   0.0000000000
11   16   0.0000000000
12   12   -3.7125466126
13   13   -3.7125466126
14   14   -3.7419986482
15   15   -3.7419986482
16   16   -3.7477525142

End AB Block
Begin IJKL Block
1   8   1   8   2.1501815920
1   8   1   9   -0.0000000293
1   8   1   10   -0.2031224524
1   8   1   11   0.0000000046
1   8   1   12   -0.0113224178
1   8   2   8   -0.0000000293
1   8   2   9   1.9774722077
1   8   2   10   0.0000000015
1   8   2   11   -0.2054661544
1   8   2   12   0.0000000001
1   8   3   8   -0.2031224524
1   8   3   9   0.0000000015
1   8   3   10   0.0323424019
1   8   3   11   -0.0000000005
1   8   3   12   0.0015999541
1   8   4   8   0.0000000046
1   8   4   9   -0.2054661544
1   8   4   10   -0.0000000005
1   8   4   11   0.0331430598
1   8   4   12   -0.0000000000
1   8   5   8   -0.0113224178
1   8   5   9   0.0000000001
1   8   5   10   0.0015999541
1   8   5   11   -0.0000000000
1   8   5   12   0.0109274452
1   8   6   13   0.0118207590
1   8   7   14   0.0118207590
1   9   1   8   -0.0000000293
1   9   1   9   2.1501747265
1   9   1   10   0.0000000015
1   9   1   11   -0.2055575291
1   9   1   12   0.0000000001
1   9   2   8   1.9774722077
1   9   2   9   0.0000000293
1   9   2   10   -0.2031525647
1   9   2   11   -0.0000000015
1   9   2   12   -0.0094630081
1   9   3   8   0.0000000015
1   9   3   9   -0.2031213417
1   9   3   10   -0.0000000000
1   9   3   11   0.0327265126
1   9   4   8   -0.2054661544
1   9   4   9   -0.0000000015
1   9   4   10   0.0327265774
1   9   4   11   0.0000000000
1   9   4   12   0.0021646519
1   9   5   8   0.0000000001
1   9   5   9   -0.0113235431
1   9   5   11   0.0021672800
1   9   5   12   -0.0000000000
1   9   6   13   0.0000000000
1   9   6   14   0.0000000000
1   9   7   13   0.0000000000
1   9   7   14   -0.0000000000
1   10   1   8   -0.2031224524
1   10   1   9   0.0000000015
1   10   1   10   0.5761784392
1   10   1   11   -0.0000000060
1   10   1   12   -0.0005666948
1   10   2   8   0.0000000015
1   10   2   9   -0.2031525647
1   10   2   10   -0.0000000000
1   10   2   11   0.4058494364
1   10   3   8   0.0323424019
1   10   3   9   -0.0000000000
1   10   3   10   -0.0085771881
1   10   3   11   0.0000000001
1   10   3   12   -0.0005310846
1   10   4   8   -0.0000000005
1   10   4   9   0.0327265774
1   10   4   10   0.0000000001
1   10   4   11   -0.0087100349
1   10   4   12   -0.0000000000
1   10   5   8   0.0015999541
1   10   5   10   -0.0016170915
1   10   5   11   -0.0000000000
1   10   5   12   0.0129439304
1   10   6   13   0.0136991600
1   10   7   14   0.0136991600
1   11   1   8   0.0000000046
1   11   1   9   -0.2055575291
1   11   1   10   -0.0000000060
1   11   1   11   0.5809213739
1   11   1   12   -0.0000000006
1   11   2   8   -0.2054661544
1   11   2   9   -0.0000000015
1   11   2   10   0.4058494364
1   11   2   11   0.0000000000
1   11   2   12   0.0429066719
1   11   3   8   -0.0000000005
1   11   3   9   0.0327265126
1   11   3   10   0.0000000001
1   11   3   11   -0.0088103591
1   11   3   12   0.0000000000
1   11   4   8   0.0331430598
1   11   4   9   0.0000000000
1   11   4   10   -0.0087100349
1   11   4   11   0.0000000001
1   11   4   12   -0.0001169203
1   11   5   8   -0.0000000000
1   11   5   9   0.0021672800
1   11   5   10   -0.0000000000
1   11   5   11   -0.0001793037
1   11   5   12   -0.0000000001
1   11   6   13   -0.0000000001
1   11   6   14   0.0000000000
1   11   7   12   0.0000000000
1   11   7   13   0.0000000000
1   11   7   14   -0.0000000001
1   12   1   8   -0.0113224178
1   12   1   9   0.0000000001
1   12   1   10   -0.0005666948
1   12   1   11   -0.0000000006
1   12   1   12   0.5162554895
1   12   2   8   0.0000000001
1   12   2   9   -0.0094630081
1   12   2   11   0.0429066719
1   12   2   12   -0.0000000000
1   12   2   14   0.0000000000
1   12   3   8   0.0015999541
1   12   3   10   -0.0005310846
1   12   3   11   0.0000000000
1   12   3   12   -0.0043662338
1   12   4   8   -0.0000000000
1   12   4   9   0.0021646519
1   12   4   10   -0.0000000000
1   12   4   11   -0.0001169203
1   12   4   12   0.0000000000
1   12   5   8   0.0109274452
1   12   5   9   -0.0000000000
1   12   5   10   0.0129439304
1   12   5   11   -0.0000000001
1   12   5   12   -0.0006245737
1   12   6   13   0.0005074832
1   12   7   11   0.0000000000
1   12   7   14   0.0005074832
1   13   1   13   0.5260704535
1   13   2   13   0.0000000009
1   13   2   14   0.0000000001
1   13   3   13   -0.0047359522
1   13   4   13   0.0000000000
1   13   5   13   -0.0012020399
1   13   6   8   0.0118207590
1   13   6   9   0.0000000000
1   13   6   10   0.0136991600
1   13   6   11   -0.0000000001
1   13   6   12   0.0005074832
1   13   7   9   0.0000000000
1   13   7   11   0.0000000000
1   14   1   14   0.5260704535
1   14   2   12   0.0000000000
1   14   2   13   0.0000000001
1   14   2   14   -0.0000000008
1   14   3   14   -0.0047359522
1   14   4   14   0.0000000000
1   14   5   14   -0.0012020399
1   14   6   9   0.0000000000
1   14   6   11   0.0000000000
1   14   7   8   0.0118207590
1   14   7   9   -0.0000000000
