Begin IJ Block
1   1   -25.6392396084
1   2   -0.0000000000
1   3   0.4917189696
1   4   -0.0000000032
1   5   0.0338989809
2   2   -25.6392312384
2   3   0.0000000032
2   4   0.4966634127
2   5   0.0000000002
3   3   -6.5523585597
3   4   -0.0000000000
3   5   0.0913301353
4   4   -6.5644765066
4   5   -0.0000000000
4   7   0.0000000000
5   5   -5.7770683051
6   6   -5.7966530517
7   7   -5.7966530517

End IJ Block
Begin IA Block
1   2   0.0000000000
1   3   -0.0000000002
1   4   -0.1681513587
1   7   -0.0000000000
1   8   0.0000000000
1   9   0.0000000019
1   10   0.3670455911
1   11   0.0000000018
1   16   0.0060388955
2   3   0.0230864251
2   4   -0.0000000011
2   6   -0.0000000000
2   9   -0.2905142488
2   10   0.0000000024
2   11   -0.2765765114
2   13   0.0000000000
2   14   0.0000000000
2   16   0.0000000000
3   2   0.0000000000
3   4   0.5352507454
3   7   0.0000000000
3   8   -0.0000000000
3   9   -0.0000000001
3   10   -1.1089982522
3   11   -0.0000000000
3   16   -0.0539795227
4   3   -0.2327686412
4   4   0.0000000000
4   6   0.0000000000
4   9   0.9404098396
4   10   -0.0000000001
4   11   0.7710898680
4   13   0.0000000000
4   16   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.2838844570
5   7   0.0000000001
5   8   -0.0000000000
5   9   -0.0000000001
5   10   -0.7573208072
5   11   0.0000000001
5   16   0.1854617512
6   1   -0.0000000002
6   2   0.0000000001
6   5   1.5553928411
6   6   -0.0003640068
6   7   -0.0000000012
6   8   -0.0000000012
6   14   0.0000094790
6   15   -0.1199019336
7   1   -0.0000000001
7   2   -0.0000000002
7   3   0.0000000000
7   5   0.0003640068
7   6   1.5553928411
7   7   0.0000000013
7   8   -0.0000000013
7   9   0.0000000000
7   11   -0.0000000000
7   14   0.1199019336
7   15   0.0000094790

End IA Block
Begin AB Block
1   1   -5.8325426662
1   5   0.0000000020
1   6   0.0000000008
1   7   0.5964633993
1   8   1.4451558142
1   12   -0.0000000000
1   13   0.0000000000
1   14   0.0000000001
1   15   -0.0000000004
2   2   -5.8325426662
2   4   -0.0000000001
2   5   -0.0000000008
2   6   0.0000000021
2   7   -1.4451558142
2   8   0.5964633993
2   10   -0.0000000000
2   12   0.0000000000
2   13   0.0000000000
2   14   0.0000000004
2   15   0.0000000001
2   16   0.0000000000
3   3   -5.9621577783
3   4   0.0000000001
3   6   0.0000000001
3   9   -1.1288675106
3   10   0.0000000001
3   11   1.0446704954
3   13   -0.0000000000
3   14   0.0000000000
3   16   -0.0000000000
4   4   -5.0560103061
4   7   -0.0000000000
4   8   0.0000000000
4   9   0.0000000000
4   10   -0.0555671091
4   11   -0.0000000000
4   16   -0.0188379988
5   5   -4.6627753008
5   7   -0.0000000002
5   8   -0.0000000002
5   14   0.0000071993
5   15   -0.0229948321
6   6   -4.6627753008
6   7   0.0000000002
6   8   -0.0000000002
6   9   0.0000000000
6   11   -0.0000000000
6   14   0.0229948321
6   15   0.0000071993
7   7   -4.5792057671
7   10   -0.0000000000
7   14   -0.0000000000
7   15   -0.0000000000
8   8   -4.5792057671
8   10   0.0000000000
8   14   0.0000000000
8   15   -0.0000000000
9   9   -4.2376681371
9   10   0.0000000000
9   11   0.1675312216
9   13   -0.0000000000
10   10   -4.1221062634
10   11   -0.0000000000
10   16   -0.0062107562
11   11   -4.4295938758
11   13   -0.0000000000
11   16   0.0000000000
12   12   -3.7128720124
13   13   -3.7128720124
14   14   -3.7423279363
15   15   -3.7423279363
16   16   -3.7480777634

End AB Block
Begin IJKL Block
1   8   1   8   2.1501812604
1   8   1   9   -0.0000000259
1   8   1   10   -0.2031228871
1   8   1   11   0.0000000040
1   8   1   12   -0.0113245117
1   8   2   8   -0.0000000259
1   8   2   9   1.9774717391
1   8   2   10   0.0000000013
1   8   2   11   -0.2054621007
1   8   2   12   0.0000000001
1   8   3   8   -0.2031228871
1   8   3   9   0.0000000013
1   8   3   10   0.0323272360
1   8   3   11   -0.0000000004
1   8   3   12   0.0015610949
1   8   4   8   0.0000000040
1   8   4   9   -0.2054621007
1   8   4   10   -0.0000000004
1   8   4   11   0.0331281981
1   8   4   12   -0.0000000000
1   8   5   8   -0.0113245117
1   8   5   9   0.0000000001
1   8   5   10   0.0015610949
1   8   5   11   -0.0000000000
1   8   5   12   0.0109279157
1   8   6   13   0.0118205178
1   8   7   14   0.0118205178
1   9   1   8   -0.0000000259
1   9   1   9   2.1501743509
1   9   1   10   0.0000000013
1   9   1   11   -0.2055536821
1   9   1   12   0.0000000000
1   9   2   8   1.9774718308
1   9   2   9   0.0000000259
1   9   2   10   -0.2031530703
1   9   2   11   -0.0000000013
1   9   2   12   -0.0094643060
1   9   3   8   0.0000000013
1   9   3   9   -0.2031219151
1   9   3   10   -0.0000000000
1   9   3   11   0.0326955124
1   9   4   8   -0.2054623073
1   9   4   9   -0.0000000013
1   9   4   10   0.0326955554
1   9   4   11   0.0000000000
1   9   4   12   0.0021586407
1   9   5   8   0.0000000001
1   9   5   9   -0.0113247160
1   9   5   11   0.0021612568
1   9   5   12   -0.0000000000
1   9   6   13   -0.0000000000
1   9   6   14   -0.0000000000
1   9   7   13   -0.0000000000
1   9   7   14   0.0000000000
1   10   1   8   -0.2031228871
1   10   1   9   0.0000000013
1   10   1   10   0.5761774408
1   10   1   11   -0.0000000053
1   10   1   12   -0.0005676823
1   10   2   8   0.0000000013
1   10   2   9   -0.2031529194
1   10   2   10   -0.0000000000
1   10   2   11   0.4058430865
1   10   3   8   0.0323414353
1   10   3   9   -0.0000000000
1   10   3   10   -0.0086066180
1   10   3   11   0.0000000001
1   10   3   12   -0.0005526467
1   10   4   8   -0.0000000004
1   10   4   9   0.0327246619
1   10   4   10   0.0000000001
1   10   4   11   -0.0087391485
1   10   5   8   0.0015983896
1   10   5   10   -0.0016463239
1   10   5   11   -0.0000000000
1   10   5   12   0.0129195387
1   10   6   13   0.0136760075
1   10   7   14   0.0136760075
1   11   1   8   0.0000000040
1   11   1   9   -0.2055536821
1   11   1   10   -0.0000000053
1   11   1   11   0.5809129310
1   11   1   12   -0.0000000006
1   11   2   8   -0.2054623073
1   11   2   9   -0.0000000013
1   11   2   10   0.4058421933
1   11   2   11   0.0000000000
1   11   2   12   0.0429138830
1   11   3   8   -0.0000000004
1   11   3   9   0.0327237020
1   11   3   10   0.0000000001
1   11   3   11   -0.0088813819
1   11   3   12   0.0000000000
1   11   4   8   0.0331395102
1   11   4   9   0.0000000000
1   11   4   10   -0.0087812783
1   11   4   11   0.0000000001
1   11   4   12   -0.0001276412
1   11   5   8   -0.0000000000
1   11   5   9   0.0021667350
1   11   5   10   -0.0000000000
1   11   5   11   -0.0001883847
1   11   5   12   -0.0000000001
1   11   5   14   0.0000000000
1   11   6   13   -0.0000000001
1   11   6   14   -0.0000000000
1   11   7   12   0.0000000000
1   11   7   13   -0.0000000000
1   11   7   14   -0.0000000000
1   12   1   8   -0.0113245117
1   12   1   9   0.0000000000
1   12   1   10   -0.0005676823
1   12   1   11   -0.0000000006
1   12   1   12   0.5162260467
1   12   2   8   0.0000000001
1   12   2   9   -0.0094652404
1   12   2   11   0.0429127748
1   12   2   12   -0.0000000000
1   12   2   14   0.0000000000
1   12   3   8   0.0015983896
1   12   3   10   -0.0005326626
1   12   3   11   0.0000000000
1   12   3   12   -0.0046516118
1   12   4   8   -0.0000000000
1   12   4   9   0.0021630155
1   12   4   11   -0.0001308447
1   12   4   12   0.0000000000
1   12   5   8   0.0109197583
1   12   5   9   -0.0000000000
1   12   5   10   0.0128225893
1   12   5   11   -0.0000000001
1   12   5   12   -0.0006495988
1   12   6   13   0.0005022361
1   12   7   11   0.0000000000
1   12   7   14   0.0005022361
1   13   1   13   0.5260393478
1   13   2   13   -0.0000000010
1   13   2   14   -0.0000000004
1   13   3   13   -0.0050251422
1   13   4   13   0.0000000000
1   13   4   14   0.0000000000
1   13   5   13   -0.0012202816
1   13   6   8   0.0118142642
1   13   6   9   -0.0000000000
1   13   6   10   0.0135882870
1   13   6   11   -0.0000000001
1   13   6   12   0.0005106046
1   13   7   9   -0.0000000000
1   13   7   11   -0.0000000000
1   14   1   14   0.5260393478
1   14   2   12   0.0000000000
1   14   2   13   -0.0000000004
1   14   2   14   0.0000000011
1   14   3   14   -0.0050251422
1   14   4   13   0.0000000000
1   14   4   14   0.0000000000
1   14   5   11   0.0000000000
