Begin IJ Block
1   1   -25.7320840499
1   2   -0.0000000000
1   3   0.4882361025
1   4   -0.0000000014
1   5   -0.0416574780
2   2   -25.7319579520
2   3   0.0000000013
2   4   0.4971075464
2   5   -0.0000000001
3   3   -6.6484432797
3   4   -0.0000000000
3   5   -0.1027931115
4   4   -6.6561824846
4   5   0.0000000000
4   6   0.0000000000
5   5   -5.8905118512
6   6   -5.8821641388
7   7   -5.8821641388

End IJ Block
Begin IA Block
1   3   0.0000000001
1   4   0.1970140718
1   7   0.0000000008
1   10   0.3526419350
1   11   0.0000000008
1   12   0.0102543063
2   3   -0.0322488482
2   4   0.0000000005
2   7   -0.2858876300
2   10   0.0000000010
2   11   -0.2783253859
2   12   0.0000000000
2   16   0.0000000000
3   4   -0.6229087261
3   7   -0.0000000000
3   8   -0.0000000000
3   9   -0.0000000000
3   10   -1.0569606176
3   11   -0.0000000000
3   12   -0.0760581306
4   3   0.2750934078
4   4   -0.0000000000
4   7   0.9427998762
4   10   -0.0000000000
4   11   0.7647951461
4   12   -0.0000000000
4   16   0.0000000000
5   3   0.0000000000
5   4   -1.1857217901
5   7   0.0000000000
5   8   0.0000000000
5   9   0.0000000000
5   10   0.8683037414
5   11   -0.0000000000
5   12   -0.2292719398
5   14   -0.0000000000
6   1   0.0000000000
6   2   0.0000000001
6   5   1.5529538553
6   6   0.0120457333
6   7   0.0000000000
6   8   0.0000000014
6   9   0.0000000002
6   11   -0.0000000000
6   13   -0.0003727225
6   14   0.1492095586
7   1   -0.0000000001
7   2   0.0000000000
7   5   -0.0120457333
7   6   1.5529538553
7   8   0.0000000002
7   9   -0.0000000014
7   13   -0.1492095586
7   14   -0.0003727225

End IA Block
Begin AB Block
1   1   -5.9299540355
1   4   0.0000000000
1   5   -0.0000000001
1   6   0.0000000018
1   8   -0.1125795378
1   9   1.5663500400
1   10   -0.0000000000
1   13   -0.0000000003
1   14   -0.0000000000
2   2   -5.9299540355
2   4   0.0000000000
2   5   -0.0000000017
2   6   -0.0000000002
2   8   1.5663500400
2   9   0.1125795378
2   10   -0.0000000000
2   12   0.0000000000
2   13   0.0000000000
2   14   -0.0000000003
3   3   -6.0846746622
3   4   0.0000000000
3   5   -0.0000000000
3   7   1.1512519765
3   10   -0.0000000000
3   11   -1.0354311163
3   12   0.0000000000
3   16   -0.0000000000
4   4   -5.2033949944
4   7   -0.0000000000
4   10   0.1070821725
4   11   0.0000000000
4   12   0.0170292219
5   5   -4.7656571397
5   7   0.0000000000
5   8   0.0000000002
5   9   0.0000000000
5   13   0.0001460541
5   14   0.0277744481
6   6   -4.7656571397
6   8   0.0000000000
6   9   -0.0000000002
6   13   -0.0277744481
6   14   0.0001460541
7   7   -4.3050257187
7   10   0.0000000000
7   11   0.1524803493
7   16   -0.0000000000
8   8   -4.6387960862
