Begin IJ Block
1   1   -25.5975353635
1   2   -0.0000000000
1   3   0.4922855530
1   4   -0.0000000043
1   5   0.0305771286
2   2   -25.5975312342
2   3   0.0000000043
2   4   0.4964032989
2   5   0.0000000003
2   6   0.0000000000
3   3   -6.5114712074
3   4   -0.0000000000
3   5   0.0873342803
4   4   -6.5230571878
4   5   -0.0000000000
4   6   -0.0000000000
5   5   -5.7313359843
6   6   -5.7584013756
7   7   -5.7584013756

End IJ Block
Begin IA Block
1   1   0.0000000000
1   3   -0.0000000002
1   4   -0.1551679730
1   7   0.0000000000
1   8   0.0000000000
1   9   0.0000000025
1   10   0.3728323297
1   11   0.0000000024
1   16   0.0045012191
2   3   0.0193325925
2   4   -0.0000000013
2   6   0.0000000000
2   9   -0.2900286943
2   10   0.0000000032
2   11   -0.2779910435
2   12   0.0000000000
2   15   0.0000000000
2   16   0.0000000000
3   1   0.0000000000
3   3   -0.0000000000
3   4   0.4944724871
3   7   -0.0000000000
3   8   -0.0000000000
3   9   -0.0000000001
3   10   -1.1276620861
3   11   -0.0000000000
3   16   -0.0455510069
4   3   -0.2140184973
4   4   0.0000000000
4   6   -0.0000000000
4   9   0.9324863572
4   10   -0.0000000001
4   11   0.7823554148
4   12   0.0000000000
4   15   0.0000000000
4   16   -0.0000000000
5   1   -0.0000000000
5   3   0.0000000000
5   4   -1.3232288068
5   7   -0.0000000000
5   8   -0.0000000001
5   9   -0.0000000001
5   10   -0.7053043015
5   11   0.0000000001
5   14   -0.0000000000
5   16   0.1659436997
6   1   -0.0000000001
6   2   -0.0000000000
6   5   0.0002754803
6   6   1.5552635837
6   7   -0.0000000004
6   8   -0.0000000001
6   9   -0.0000000000
6   11   0.0000000001
6   14   -0.0000108626
6   15   -0.1084692534
7   1   0.0000000000
7   2   -0.0000000000
7   5   1.5552635837
7   6   -0.0002754803
7   7   -0.0000000002
7   8   0.0000000005
7   12   0.0000000000
7   14   0.1084692534
7   15   -0.0000108626
7   16   0.0000000000

End IA Block
Begin AB Block
1   1   -5.7886973788
1   4   -0.0000000001
1   5   -0.0000000004
1   6   0.0000000003
1   7   0.5681447905
1   8   1.4536735082
1   10   -0.0000000001
1   12   -0.0000000000
1   13   0.0000000000
1   14   -0.0000000001
1   15   -0.0000000001
1   16   0.0000000000
2   2   -5.7886973788
2   4   -0.0000000000
2   5   0.0000000005
2   6   0.0000000004
2   7   1.4536735082
2   8   -0.5681447905
