Begin IJ Block
1   1   -25.5586102483
1   2   -0.0000000005
1   3   0.4927612528
1   4   -0.0000000808
1   5   0.0276118355
2   2   -25.5586099654
2   3   0.0000000803
2   4   0.4961783594
2   5   0.0000000045
2   6   0.0000000000
3   3   -6.4733333048
3   4   -0.0000000003
3   5   0.0842972660
4   4   -6.4839619416
4   5   -0.0000000003
4   6   -0.0000000000
5   5   -5.6913266804
6   6   -5.7221998580
7   7   -5.7221998580

End IJ Block
Begin IA Block
1   1   0.0000000000
1   2   0.0000000000
1   3   -0.0000000027
1   4   -0.1425173078
1   7   0.0000000000
1   8   -0.0000000000
1   9   0.0000000472
1   10   0.3780232333
1   11   0.0000000461
1   16   0.0032841593
2   3   0.0160662913
2   4   -0.0000000233
2   5   0.0000000000
2   9   -0.2870332178
2   10   0.0000000620
2   11   -0.2817933131
2   12   0.0000000000
2   14   0.0000000001
2   16   0.0000000005
3   1   0.0000000000
3   2   0.0000000000
3   3   -0.0000000000
3   4   0.4545052225
3   7   -0.0000000000
3   8   0.0000000000
3   9   -0.0000000013
3   10   -1.1441978564
3   11   -0.0000000004
3   16   -0.0386080550
4   3   -0.1968855244
4   4   0.0000000004
4   5   -0.0000000000
4   9   0.9180179036
4   10   -0.0000000013
4   11   0.8010383159
4   12   0.0000000000
4   14   0.0000000001
4   16   -0.0000000000
5   1   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000002
5   4   -1.3581017722
5   7   -0.0000000003
5   8   0.0000000001
5   9   -0.0000000020
5   10   -0.6541038911
5   11   0.0000000016
5   16   0.1484447523
6   1   -0.0000000005
6   2   -0.0000000007
6   3   0.0000000000
6   5   1.5550854234
6   6   0.0000054984
6   7   -0.0000000028
6   8   -0.0000000006
6   9   -0.0000000002
6   11   0.0000000002
6   12   -0.0988155621
6   13   0.0000014880
7   1   0.0000000005
7   2   -0.0000000002
7   5   -0.0000054984
7   6   1.5550854234
7   7   -0.0000000007
7   8   -0.0000000056
7   12   0.0000014880
7   13   0.0988155621
7   14   0.0000000000

End IA Block
Begin AB Block
1   1   -5.7474253623
1   4   -0.0000000002
1   5   0.0000000012
1   6   -0.0000000056
1   7   0.7305666493
1   8   -1.3770279611
1   10   -0.0000000001
