Begin IJ Block
1   10   3   10   -0.0086244511
1   10   3   11   0.0000000005
1   10   3   12   -0.0004205202
1   10   4   8   -0.0000000041
1   10   4   9   0.0327305165
1   10   4   10   0.0000000005
1   10   4   11   -0.0087202959
1   10   4   12   -0.0000000000
1   10   5   8   0.0012491435
1   10   5   9   0.0000000000
1   10   5   10   -0.0013559156
1   10   5   11   -0.0000000001
1   10   5   12   0.0130260575
1   10   6   13   0.0137310598
1   10   7   14   0.0137310598
1   11   1   8   0.0000000384
1   11   1   9   -0.2052124298
1   11   1   10   -0.0000000514
1   11   1   11   0.5745303210
1   11   1   12   -0.0000000043
1   11   1   14   0.0000000000
1   11   2   8   -0.2051474545
1   11   2   9   -0.0000000129
1   11   2   10   0.4116497039
1   11   2   11   0.0000000002
1   11   2   12   0.0348601997
1   11   3   8   -0.0000000041
1   11   3   9   0.0327304680
1   11   3   10   0.0000000005
1   11   3   11   -0.0087895819
1   11   3   12   0.0000000000
1   11   4   8   0.0330245935
1   11   4   9   0.0000000000
1   11   4   10   -0.0087202959
1   11   4   11   0.0000000005
1   11   4   12   -0.0000910644
1   11   5   8   -0.0000000002
1   11   5   9   0.0016917279
1   11   5   10   -0.0000000001
1   11   5   11   -0.0002285806
1   11   5   12   -0.0000000008
1   11   5   14   -0.0000000000
1   11   6   13   -0.0000000005
1   11   6   14   0.0000000000
1   11   7   12   -0.0000000000
1   11   7   13   0.0000000000
1   11   7   14   -0.0000000011
1   12   1   8   -0.0089442560
1   12   1   9   0.0000000003
1   12   1   10   -0.0014512713
1   12   1   11   -0.0000000043
1   12   1   12   0.5113470094
1   12   2   8   0.0000000004
1   12   2   9   -0.0073144239
1   12   2   10   0.0000000000
1   12   2   11   0.0348601997
1   12   2   12   -0.0000000005
1   12   2   14   -0.0000000001
1   12   3   8   0.0012491435
1   12   3   9   0.0000000000
1   12   3   10   -0.0004205202
1   12   3   11   0.0000000000
1   12   3   12   -0.0044132122
1   12   4   8   -0.0000000002
1   12   4   9   0.0016896504
1   12   4   10   -0.0000000000
1   12   4   11   -0.0000910644
1   12   4   12   0.0000000003
1   12   4   14   0.0000000000
1   12   5   8   0.0110069958
1   12   5   9   -0.0000000000
1   12   5   10   0.0130260575
1   12   5   11   -0.0000000008
1   12   5   12   -0.0005496547
1   12   6   13   0.0003965915
1   12   7   9   -0.0000000000
1   12   7   11   -0.0000000000
1   12   7   14   0.0003965915
1   13   1   13   0.5211568345
1   13   2   13   0.0000000077
1   13   2   14   0.0000000009
1   13   3   13   -0.0047588597
1   13   4   13   0.0000000002
1   13   4   14   -0.0000000000
1   13   5   13   -0.0010230912
1   13   6   8   0.0118525636
1   13   6   9   0.0000000003
1   13   6   10   0.0137310598
1   13   6   11   -0.0000000005
1   13   6   12   0.0003965915
1   13   7   9   0.0000000000
1   13   7   11   0.0000000000
1   14   1   9   -0.0000000000
1   14   1   11   0.0000000000
1   14   1   14   0.5211568345
1   14   2   8   -0.0000000000
1   14   2   10   0.0000000000
1   14   2   12   -0.0000000001
1   14   2   13   0.0000000009
1   14   2   14   -0.0000000071
1   14   3   14   -0.0047588597
1   14   4   12   0.0000000000
1   14   4   13   -0.0000000000
1   14   4   14   0.0000000004
1   14   5   9   -0.0000000000
1   14   5   11   -0.0000000000
1   14   5   14   -0.0010230912
1   14   6   9   0.0000000000
1   14   6   11   0.0000000000
1   14   7   8   0.0118525636
1   14   7   9   -0.0000000002
1   14   7   10   0.0137310598
1   14   7   11   -0.0000000011
1   14   7   12   0.0003965915
2   8   1   8   -0.0000002477
2   8   1   9   1.9832048314
2   8   1   10   0.0000000128
2   8   1   11   -0.2051474545
2   8   1   12   0.0000000004
2   8   1   14   -0.0000000000
2   8   2   8   2.1443931250
2   8   2   9   0.0000002477
2   8   2   10   -0.2034761902
2   8   2   11   -0.0000000129
2   8   2   12   -0.0089446965
2   8   3   8   0.0000000128
2   8   3   9   -0.2035010808
2   8   3   10   -0.0000000000
2   8   3   11   0.0327305165
2   8   3   12   0.0000000000
2   8   4   8   -0.2052124298
2   8   4   9   -0.0000000129
2   8   4   10   0.0327304680
2   8   4   11   0.0000000000
2   8   4   12   0.0016917279
2   8   5   8   0.0000000003
2   8   5   9   -0.0073144239
2   8   5   10   0.0000000000
2   8   5   11   0.0016896504
2   8   5   12   -0.0000000000
2   8   5   14   -0.0000000000
2   8   6   13   0.0000000003
2   8   6   14   0.0000000000
2   8   7   8   -0.0000000000
2   8   7   12   -0.0000000000
2   8   7   13   0.0000000000
2   8   7   14   -0.0000000002
2   9   1   8   1.9832048314
2   9   1   9   0.0000002477
2   9   1   10   -0.2035010808
2   9   1   11   -0.0000000129
2   9   1   12   -0.0073144239
2   9   2   8   0.0000002477
2   9   2   9   2.1443906541
2   9   2   10   -0.0000000381
2   9   2   11   -0.2052120403
2   9   2   12   -0.0000000015
2   9   2   14   -0.0000000000
2   9   3   8   -0.2035010808
2   9   3   9   -0.0000000381
2   9   3   10   0.0324555843
2   9   3   11   0.0000000041
2   9   3   12   0.0012505512
2   9   4   8   -0.0000000129
