Begin IJ Block
1   1   -25.6838240705
1   2   -0.0000000000
1   3   0.4890253149
1   4   -0.0000000024
1   5   -0.0374545839
2   2   -25.6837005302
2   3   0.0000000024
2   4   0.4967685312
2   5   -0.0000000002
2   6   -0.0000000000
3   3   -6.6006773407
3   4   -0.0000000000
3   5   -0.0959666303
4   4   -6.6097729008
4   5   0.0000000000
4   6   0.0000000000
5   5   -5.8312685395
6   6   -5.8390012561
7   7   -5.8390012561

End IJ Block
Begin IA Block
1   2   -0.0000000000
1   3   0.0000000001
1   4   0.1818940001
1   7   0.0000000000
1   8   -0.0000000000
1   9   0.0000000014
1   10   0.3605522959
1   11   0.0000000014
1   16   0.0079545646
2   3   -0.0273535423
2   4   0.0000000009
2   5   -0.0000000000
2   7   0.0000000000
2   9   -0.2890244040
2   10   0.0000000018
2   11   -0.2768653175
2   12   -0.0000000000
2   14   0.0000000000
2   16   0.0000000000
3   2   -0.0000000000
3   4   -0.5763460660
3   7   -0.0000000000
3   8   0.0000000000
3   9   -0.0000000000
3   10   -1.0831738724
3   11   -0.0000000000
3   16   -0.0639155892
4   3   0.2528242720
4   4   -0.0000000000
4   5   0.0000000000
4   7   -0.0000000000
4   9   0.9435199660
4   10   -0.0000000000
4   11   0.7657164398
4   12   -0.0000000000
4   14   0.0000000000
4   16   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000000
5   4   -1.2375045804
5   7   0.0000000002
5   8   -0.0000000001
5   9   0.0000000001
5   10   0.8100503141
5   11   -0.0000000000
5   16   -0.2066056694
6   1   -0.0000000001
6   2   0.0000000000
6   3   -0.0000000000
6   5   1.5530524976
6   6   -0.0025223123
6   7   -0.0000000004
6   8   -0.0000000004
6   9   0.0000000001
6   11   -0.0000000001
6   12   0.0000000000
6   13   -0.0000000000
6   14   0.1332955893
6   15   0.0002243597
7   1   0.0000000000
7   2   0.0000000001
7   5   0.0025223123
7   6   1.5530524976
7   7   -0.0000000005
7   8   0.0000000003
7   13   -0.0000000000
7   14   0.0002243597
7   15   -0.1332955893

End IA Block
Begin AB Block
1   1   -5.8805099851
1   4   0.0000000000
1   5   0.0000000007
1   6   -0.0000000002
1   7   0.6458160336
1   8   1.4262808533
1   9   0.0000000000
1   10   -0.0000000000
1   12   -0.0000000000
1   13   -0.0000000000
1   14   0.0000000001
1   15   0.0000000000
1   16   0.0000000000
2   2   -5.8805099851
2   4   -0.0000000002
2   5   -0.0000000003
2   6   -0.0000000007
2   7   -1.4262808533
2   8   0.6458160336
2   9   -0.0000000000
2   10   0.0000000002
2   12   0.0000000000
2   13   -0.0000000000
2   14   -0.0000000000
2   15   0.0000000001
2   16   -0.0000000000
3   3   -6.0220728893
3   4   0.0000000001
3   5   -0.0000000002
3   7   -0.0000000000
3   9   1.1362364883
3   10   -0.0000000001
3   11   -1.0427327574
3   14   -0.0000000000
3   16   0.0000000000
4   4   -5.1304331333
4   7   -0.0000000000
4   8   0.0000000000
4   9   -0.0000000000
4   10   0.0786688244
4   11   0.0000000000
4   16   0.0178766834
5   5   -4.7120441846
5   7   -0.0000000001
5   8   -0.0000000001
5   9   0.0000000000
5   11   -0.0000000000
5   12   0.0000000000
5   13   -0.0000000000
5   14   0.0251373420
5   15   0.0000014850
6   6   -4.7120441846
6   7   -0.0000000001
6   8   0.0000000001
6   13   -0.0000000000
6   14   0.0000014850
6   15   -0.0251373420
7   7   -4.6081634111
7   9   -0.0000000000
7   10   0.0000000000
7   11   -0.0000000000
7   12   -0.0000000000
7   13   0.0000000000
7   14   0.0000000000
7   15   -0.0000000000
8   8   -4.6081634111
8   10   -0.0000000000
8   12   -0.0000000000
8   13   -0.0000000000
8   14   0.0000000000
8   15   0.0000000000
9   9   -4.2693638373
9   10   0.0000000000
9   11   0.1596009910
10   10   -4.1561969447
10   11   -0.0000000000
10   16   -0.0082400014
11   11   -4.4394682407
11   12   0.0000000000
11   16   0.0000000000
12   12   -3.7553635300
12   14   -0.0000000000
13   13   -3.7553635300
13   14   0.0000000000
13   15   -0.0000000000
14   14   -3.7877456579
15   15   -3.7877456579
16   16   -3.7934047918

End AB Block
Begin IJKL Block
1   8   1   8   2.1534658489
1   8   1   9   -0.0000000194
1   8   1   10   -0.2022291162
1   8   1   11   0.0000000030
1   8   1   12   0.0126695845
1   8   2   8   -0.0000000194
1   8   2   9   1.9743180110
1   8   2   10   0.0000000010
1   8   2   11   -0.2056236842
1   8   2   12   -0.0000000001
1   8   2   13   0.0000000000
1   8   3   8   -0.2022291162
1   8   3   9   0.0000000010
1   8   3   10   0.0320575076
1   8   3   11   -0.0000000003
1   8   3   12   -0.0017334769
1   8   4   8   0.0000000030
1   8   4   9   -0.2056236842
1   8   4   10   -0.0000000003
1   8   4   11   0.0331802221
1   8   4   12   0.0000000000
1   8   5   8   0.0126695845
1   8   5   9   -0.0000000001
1   8   5   10   -0.0017334769
1   8   5   11   0.0000000000
1   8   5   12   0.0108832434
1   8   6   9   0.0000000000
1   8   6   13   0.0117555011
1   8   7   14   0.0117555011
1   9   1   8   -0.0000000194
1   9   1   9   2.1534195863
1   9   1   10   0.0000000010
1   9   1   11   -0.2056966676
1   9   1   12   -0.0000000000
1   9   1   13   0.0000000000
1   9   2   8   1.9743183286
1   9   2   9   0.0000000194
1   9   2   10   -0.2022984548
1   9   2   11   -0.0000000010
1   9   2   12   0.0106802178
1   9   3   8   0.0000000010
1   9   3   9   -0.2022261772
1   9   3   10   -0.0000000000
1   9   3   11   0.0325814065
1   9   4   8   -0.2056238242
1   9   4   9   -0.0000000010
1   9   4   10   0.0325839557
1   9   4   11   0.0000000000
1   9   4   12   -0.0024322540
1   9   5   8   -0.0000000001
1   9   5   9   0.0126696647
1   9   5   11   -0.0024353024
1   9   5   13   -0.0000000000
1   9   6   8   0.0000000000
1   9   6   12   -0.0000000000
1   9   6   13   0.0000000000
1   9   6   14   0.0000000000
1   9   7   13   0.0000000000
1   9   7   14   -0.0000000000
1   10   1   8   -0.2022291162
1   10   1   9   0.0000000010
1   10   1   10   0.5788336567
1   10   1   11   -0.0000000039
1   10   1   12   0.0001857078
1   10   2   8   0.0000000010
1   10   2   9   -0.2023027296
1   10   2   10   -0.0000000000
1   10   2   11   0.4010655901
1   10   2   13   -0.0000000000
1   10   3   8   0.0322183768
1   10   3   9   -0.0000000000
1   10   3   10   -0.0083212547
1   10   3   11   0.0000000000
1   10   3   12   0.0006184812
1   10   4   8   -0.0000000003
1   10   4   9   0.0326287551
1   10   4   10   0.0000000000
1   10   4   11   -0.0087495115
1   10   5   8   -0.0017946060
1   10   5   10   0.0018162310
1   10   5   11   0.0000000000
1   10   5   12   0.0128564581
1   10   6   13   0.0136011277
1   10   7   14   0.0136011277
1   11   1   8   0.0000000030
