Begin IJ Block
1   1   -25.5580524295
1   2   -0.0000000002
1   3   0.4907438746
1   4   -0.0000000464
1   5   -0.0275146245
2   2   -25.5580332050
2   3   0.0000000460
2   4   0.4944654008
2   5   -0.0000000026
2   6   -0.0000000000
3   3   -6.4754393464
3   4   -0.0000000002
3   5   -0.0837932080
4   4   -6.4852119935
4   5   0.0000000002
4   6   0.0000000000
5   5   -5.6923743322
6   6   -5.7242126247
6   7   0.0000000071
7   7   -5.7233739894

End IJ Block
Begin IA Block
1   1   -0.0000000000
1   2   -0.0000000000
1   3   0.0000000016
1   4   0.1427416048
1   7   -0.0000000000
1   8   -0.0000000000
1   9   0.0000000271
1   10   0.3780211455
1   11   0.0000000265
2   3   -0.0162539002
2   4   0.0000000135
2   5   -0.0000000000
2   9   -0.2869398820
2   10   0.0000000357
2   11   -0.2819782155
2   12   0.0000000000
3   1   -0.0000000000
3   2   -0.0000000000
3   3   0.0000000001
3   4   -0.4519856236
3   7   0.0000000000
3   8   0.0000000000
3   9   -0.0000000007
3   10   -1.1401465599
3   11   -0.0000000002
4   3   0.1877744580
4   4   -0.0000000002
4   5   0.0000000000
4   9   0.9160219975
4   10   -0.0000000008
4   11   0.7977950441
4   12   0.0000000000
5   1   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000001
5   4   -1.3553947907
5   7   -0.0000000003
5   8   -0.0000000001
5   9   0.0000000011
5   10   0.6524116043
5   11   -0.0000000009
6   1   -0.0000000009
6   2   -0.0000000005
6   3   0.0000000000
6   5   1.5511111079
6   6   0.0000339605
6   7   -0.0000000042
6   8   -0.0000000026
6   9   0.0000000002
6   11   -0.0000000002
6   12   0.0955683850
7   1   0.0000000004
7   2   -0.0000000008
7   5   -0.0000339584
7   6   1.5506887237
7   7   0.0000000032
7   8   -0.0000000058
7   12   -0.0000008039

End IA Block
Begin AB Block
1   1   -5.7543277781
1   2   0.0006087472
1   4   -0.0000000003
1   5   0.0000000055
1   6   -0.0000000038
1   7   1.5571138229
1   8   0.0351808157
1   10   0.0000000002
1   12   0.0000000012
2   2   -5.7556381030
2   4   -0.0000000001
2   5   0.0000000032
2   6   0.0000000072
2   7   -0.0351284931
2   8   1.5570599999
2   10   0.0000000001
2   12   0.0000000007
3   3   -5.8607903689
3   4   0.0000000015
3   5   -0.0000000003
3   9   1.1373125027
3   10   -0.0000000011
3   11   -1.0224478969
3   12   -0.0000000000
4   4   -4.9107420109
4   7   0.0000000000
4   8   0.0000000000
4   9   -0.0000000003
4   10   0.0179200056
4   11   0.0000000002
5   5   -4.5774755921
5   6   0.0000000013
5   7   -0.0000000008
5   8   -0.0000000005
5   9   0.0000000000
5   11   -0.0000000000
5   12   0.0197705256
6   6   -4.5775704031
6   7   0.0000000004
6   8   -0.0000000007
6   12   0.0000002666
7   7   -4.5234763842
7   8   -0.0000185246
7   10   -0.0000000000
7   12   0.0000000001
8   8   -4.5234399552
8   10   -0.0000000000
8   12   0.0000000000
9   9   -4.1887081085
9   10   0.0000000002
9   11   0.1854025258
10   10   -4.0634315292
10   11   -0.0000000001
11   11   -4.3955972647
11   12   0.0000000000
12   12   -3.6627188990

End AB Block
Begin IJKL Block
1   8   1   8   2.1444649873
1   8   1   9   -0.0000003735
1   8   1   10   -0.2028099711
1   8   1   11   0.0000000577
1   8   1   12   0.0089062755
1   8   2   8   -0.0000003735
1   8   2   9   1.9832729732
1   8   2   10   0.0000000192
1   8   2   11   -0.2045759942
1   8   2   12   -0.0000000007
1   8   2   13   0.0000000000
1   8   3   8   -0.2028099711
1   8   3   9   0.0000000192
1   8   3   10   0.0322360644
1   8   3   11   -0.0000000061
1   8   3   12   -0.0012190038
1   8   4   8   0.0000000577
1   8   4   9   -0.2045759942
1   8   4   10   -0.0000000061
1   8   4   11   0.0328190365
1   8   4   12   0.0000000003
1   8   5   8   0.0089062755
1   8   5   9   -0.0000000007
1   8   5   10   -0.0012190038
1   8   5   11   0.0000000003
1   8   5   12   0.0109449523
1   8   6   9   0.0000000000
1   8   6   13   0.0117851288
1   8   6   14   -0.0000000001
1   8   7   13   -0.0000000001
1   8   7   14   0.0117748582
1   9   1   8   -0.0000003735
1   9   1   9   2.1444563895
1   9   1   10   0.0000000192
1   9   1   11   -0.2046427986
1   9   1   12   -0.0000000005
1   9   1   13   0.0000000000
1   9   2   8   1.9832732467
1   9   2   9   0.0000003735
1   9   2   10   -0.2028351988
1   9   2   11   -0.0000000193
1   9   2   12   0.0072828442
1   9   3   8   0.0000000192
1   9   3   9   -0.2028130201
1   9   3   10   -0.0000000001
1   9   3   11   0.0325128130
1   9   3   12   -0.0000000000
1   9   4   8   -0.2045725045
1   9   4   9   -0.0000000193
1   9   4   10   0.0325168384
1   9   4   11   -0.0000000000
1   9   4   12   -0.0016833029
1   9   5   8   -0.0000000007
1   9   5   9   0.0089061921
1   9   5   10   -0.0000000000
1   9   5   11   -0.0016851319
1   9   5   12   -0.0000000000
1   9   5   13   -0.0000000000
1   9   6   8   0.0000000000
1   9   6   12   -0.0000000000
1   9   6   13   -0.0000000001
1   9   6   14   0.0000000000
1   9   7   13   0.0000000000
1   9   7   14   0.0000000002
1   10   1   8   -0.2028099711
1   10   1   9   0.0000000192
1   10   1   10   0.5709016758
1   10   1   11   -0.0000000774
1   10   1   12   0.0014292104
1   10   2   8   0.0000000192
1   10   2   9   -0.2028395159
1   10   2   10   -0.0000000003
1   10   2   11   0.4110085205
1   10   2   12   -0.0000000000
1   10   2   13   -0.0000000000
1   10   3   8   0.0324115001
1   10   3   9   -0.0000000000
1   10   3   10   -0.0084296521
1   10   3   11   0.0000000008
1   10   3   12   0.0004240377
1   10   4   8   -0.0000000061
1   10   4   9   0.0325667605
1   10   4   10   0.0000000008
1   10   4   11   -0.0087568961
1   10   4   12   0.0000000000
1   10   5   8   -0.0012462094
1   10   5   9   -0.0000000000
1   10   5   10   0.0013649639
1   10   5   11   0.0000000001
1   10   5   12   0.0129078943
1   10   6   13   0.0136092560
1   10   6   14   -0.0000000001
1   10   7   13   -0.0000000001
1   10   7   14   0.0135914310
1   11   1   8   0.0000000577
1   11   1   9   -0.2046427986
1   11   1   10   -0.0000000774
1   11   1   11   0.5742995030
1   11   1   12   0.0000000065
1   11   1   13   -0.0000000000
1   11   2   8   -0.2045725045
1   11   2   9   -0.0000000193
1   11   2   10   0.4110167153
1   11   2   11   0.0000000003
1   11   2   12   -0.0346754319
1   11   3   8   -0.0000000061
1   11   3   9   0.0325708153
1   11   3   10   0.0000000008
1   11   3   11   -0.0087738937
1   11   3   12   -0.0000000001
1   11   4   8   0.0329794211
1   11   4   9   0.0000000000
1   11   4   10   -0.0086265544
1   11   4   11   0.0000000008
1   11   4   12   0.0001102467
1   11   5   8   0.0000000003
1   11   5   9   -0.0016807880
1   11   5   10   0.0000000001
1   11   5   11   0.0002475540
1   11   5   12   -0.0000000012
1   11   5   13   -0.0000000000
1   11   6   12   -0.0000000000
1   11   6   13   -0.0000000014
1   11   6   14   0.0000000000
1   11   7   13   0.0000000000
1   11   7   14   -0.0000000011
1   12   1   8   0.0089062755
1   12   1   9   -0.0000000005
1   12   1   10   0.0014292104
1   12   1   11   0.0000000065
1   12   1   12   0.5110984863
1   12   2   8   -0.0000000007
1   12   2   9   0.0072837907
1   12   2   10   -0.0000000000
1   12   2   11   -0.0346746432
1   12   2   12   -0.0000000008
1   12   2   13   -0.0000000001
1   12   3   8   -0.0012462094
1   12   3   10   0.0004130158
1   12   3   11   -0.0000000001
1   12   3   12   -0.0047311212
1   12   4   8   0.0000000003
1   12   4   9   -0.0016779435
1   12   4   10   0.0000000000
1   12   4   11   0.0001055406
1   12   4   12   0.0000000005
1   12   4   13   0.0000000000
1   12   5   8   0.0109701787
1   12   5   9   -0.0000000000
1   12   5   10   0.0127480659
1   12   5   11   -0.0000000012
1   12   5   12   0.0004850420
1   12   6   9   -0.0000000000
1   12   6   11   -0.0000000000
1   12   6   13   -0.0003641660
1   12   6   14   -0.0000000003
1   12   7   13   -0.0000000003
1   12   7   14   -0.0004031389
1   13   1   9   0.0000000000
1   13   1   11   -0.0000000000
